host_experience_years,description_length,num_amenities,bathrooms,bedrooms,beds,neighbourhood_group_cleansed,room_type,price
2.1561643835616437,47,35,1.0,1.0,1.0,Bronx,Private room,35.0
10.117808219178082,152,24,1.0,1.0,2.0,Queens,Private room,94.99999999999999
8.98904109589041,436,45,1.0,2.0,2.0,Queens,Entire home/apt,192.0
1.6958904109589041,494,49,1.0,1.0,1.0,Brooklyn,Private room,180.00000000000006
8.753424657534246,474,52,1.0,2.0,3.0,Manhattan,Entire home/apt,520.0
13.682191780821919,454,47,1.0,1.0,2.0,Brooklyn,Entire home/apt,166.00000000000006
5.742465753424658,179,24,1.0,2.0,3.0,Queens,Private room,294.0000000000001
1.6931506849315068,221,13,0.0,1.0,1.0,Manhattan,Private room,65.99999999999997
8.378082191780821,307,32,1.0,1.0,1.0,Manhattan,Entire home/apt,387.99999999999983
2.4136986301369863,482,41,1.0,0.0,4.0,Manhattan,Entire home/apt,252.00000000000003
4.276712328767124,341,43,1.0,1.0,1.0,Queens,Private room,97.99999999999999
11.983561643835616,509,30,1.0,1.0,1.0,Queens,Entire home/apt,62.99999999999998
12.479452054794521,483,35,2.0,1.0,1.0,Manhattan,Private room,87.00000000000003
11.572602739726028,231,48,1.0,0.0,2.0,Manhattan,Entire home/apt,107.00000000000003
9.778082191780822,506,34,1.0,1.0,1.0,Brooklyn,Entire home/apt,185.00000000000009
14.484931506849316,496,51,1.0,0.0,0.0,Manhattan,Entire home/apt,120.00000000000003
10.2,513,42,1.0,1.0,0.0,Brooklyn,Private room,62.99999999999998
5.4,498,32,1.0,2.0,1.0,Brooklyn,Private room,80.00000000000003
8.021917808219179,301,26,1.0,3.0,3.0,Brooklyn,Entire home/apt,296.00000000000006
6.7753424657534245,422,11,1.0,1.0,1.0,Queens,Private room,42.0
2.191780821917808,258,7,2.0,1.0,1.0,Brooklyn,Private room,46.999999999999986
8.378082191780821,295,31,1.0,1.0,1.0,Manhattan,Entire home/apt,373.0000000000001
7.101369863013699,580,63,1.0,1.0,1.0,Manhattan,Private room,45.0
0.5178082191780822,470,23,1.0,1.0,1.0,Manhattan,Private room,998.9999999999998
2.6931506849315068,401,7,1.0,1.0,1.0,Queens,Private room,37.99999999999999
6.808219178082192,519,44,1.0,2.0,2.0,Manhattan,Entire home/apt,173.0
5.876712328767123,510,13,1.0,1.0,1.0,Manhattan,Hotel room,311.9999999999999
6.926027397260274,60,37,1.0,1.0,2.0,Bronx,Entire home/apt,125.0
7.93972602739726,498,30,1.0,2.0,4.0,Brooklyn,Entire home/apt,100.00000000000003
2.1945205479452055,280,27,1.0,1.0,1.0,Manhattan,Hotel room,800.0000000000003
1.6931506849315068,280,14,0.0,3.0,1.0,Manhattan,Private room,64.99999999999997
8.191780821917808,393,24,1.0,1.0,1.0,Bronx,Private room,52.00000000000001
8.761643835616438,519,15,0.5,1.0,1.0,Staten Island,Private room,45.0
3.180821917808219,513,44,1.0,1.0,1.0,Manhattan,Entire home/apt,354.00000000000006
3.6164383561643834,408,34,1.0,1.0,1.0,Brooklyn,Private room,100.00000000000003
2.978082191780822,530,51,2.0,2.0,3.0,Staten Island,Entire home/apt,170.99999999999994
5.501369863013698,504,17,1.0,1.0,2.0,Manhattan,Private room,389.0
10.128767123287671,478,46,1.0,1.0,1.0,Brooklyn,Entire home/apt,105.99999999999996
2.1945205479452055,379,20,1.0,1.0,2.0,Manhattan,Hotel room,424.0000000000001
13.624657534246575,135,10,0.0,1.0,1.0,Brooklyn,Private room,50.0
8.402739726027397,500,27,1.0,1.0,2.0,Manhattan,Private room,94.99999999999999
2.0191780821917806,82,8,1.0,2.0,3.0,Brooklyn,Entire home/apt,249.9999999999999
11.347945205479451,489,23,1.0,1.0,1.0,Brooklyn,Private room,84.00000000000001
12.419178082191781,416,17,1.0,1.0,1.0,Manhattan,Shared room,37.99999999999999
8.378082191780821,231,31,1.0,1.0,1.0,Manhattan,Entire home/apt,404.99999999999994
10.695890410958905,450,17,1.0,2.0,1.0,Queens,Private room,62.99999999999998
1.6931506849315068,484,7,1.0,1.0,1.0,Brooklyn,Private room,40.00000000000001
9.082191780821917,419,45,1.0,2.0,2.0,Brooklyn,Entire home/apt,114.00000000000001
9.41095890410959,498,43,1.0,1.0,4.0,Manhattan,Entire home/apt,328.9999999999999
9.421917808219177,521,48,1.0,1.0,1.0,Brooklyn,Entire home/apt,158.0
8.827397260273973,490,25,1.0,1.0,1.0,Manhattan,Private room,71.99999999999999
3.786301369863014,519,43,1.0,1.0,1.0,Brooklyn,Private room,69.00000000000003
8.98082191780822,515,74,1.0,1.0,3.0,Bronx,Private room,75.0
3.419178082191781,55,42,0.5,5.0,1.0,Brooklyn,Private room,61.00000000000001
6.252054794520548,59,1,1.0,1.0,1.0,Brooklyn,Entire home/apt,249.9999999999999
4.747945205479452,481,72,1.0,2.0,2.0,Brooklyn,Private room,476.00000000000017
1.6931506849315068,93,16,0.0,3.0,1.0,Manhattan,Private room,82.99999999999997
0.9643835616438357,194,35,1.5,3.0,4.0,Queens,Entire home/apt,335.99999999999994
2.6575342465753424,276,48,1.0,1.0,3.0,Manhattan,Private room,463.9999999999998
12.219178082191782,510,32,2.0,1.0,3.0,Manhattan,Entire home/apt,100.00000000000003
8.213698630136987,462,46,1.0,1.0,1.0,Queens,Entire home/apt,68.00000000000001
8.73150684931507,359,33,1.0,1.0,1.0,Manhattan,Private room,145.0
10.068493150684931,345,24,1.0,1.0,1.0,Brooklyn,Entire home/apt,227.00000000000006
3.0602739726027397,276,41,1.0,2.0,3.0,Manhattan,Entire home/apt,309.00000000000006
6.032876712328767,363,44,1.0,0.0,2.0,Brooklyn,Private room,104.99999999999997
6.47945205479452,495,50,1.0,2.0,2.0,Brooklyn,Entire home/apt,394.00000000000006
10.824657534246576,278,52,3.0,4.0,4.0,Manhattan,Entire home/apt,424.0000000000001
10.219178082191782,460,58,1.0,1.0,1.0,Manhattan,Entire home/apt,121.99999999999994
8.73972602739726,448,41,1.0,2.0,2.0,Manhattan,Entire home/apt,150.0
10.830136986301369,343,64,1.0,2.0,2.0,Queens,Entire home/apt,150.0
7.391780821917808,255,28,1.0,1.0,1.0,Manhattan,Entire home/apt,201.00000000000006
2.904109589041096,291,37,1.0,1.0,1.0,Brooklyn,Private room,55.00000000000002
5.947945205479452,499,34,2.0,1.0,1.0,Queens,Private room,55.00000000000002
10.756164383561643,466,8,1.0,1.0,1.0,Queens,Private room,47.99999999999999
11.860273972602739,375,49,1.0,1.0,2.0,Brooklyn,Entire home/apt,200.0
9.72054794520548,315,42,1.0,1.0,1.0,Queens,Private room,71.99999999999999
13.75068493150685,437,30,1.0,1.0,1.0,Brooklyn,Private room,94.99999999999999
2.6931506849315068,495,51,1.0,1.0,1.0,Manhattan,Private room,180.99999999999997
1.5835616438356164,499,15,1.0,2.0,1.0,Brooklyn,Entire home/apt,315.9999999999999
10.846575342465753,396,36,1.0,1.0,1.0,Brooklyn,Entire home/apt,274.9999999999999
1.5726027397260274,481,37,1.0,3.0,3.0,Brooklyn,Entire home/apt,251.00000000000003
8.378082191780821,224,33,2.0,2.0,2.0,Brooklyn,Entire home/apt,428.0
11.893150684931507,440,15,1.0,1.0,1.0,Manhattan,Private room,94.0
8.150684931506849,251,18,1.0,1.0,1.0,Queens,Private room,75.0
0.589041095890411,313,8,1.0,0.0,1.0,Manhattan,Entire home/apt,104.99999999999997
1.6356164383561644,484,8,2.0,1.0,1.0,Brooklyn,Private room,41.0
11.342465753424657,118,27,1.0,2.0,4.0,Brooklyn,Entire home/apt,150.0
12.608219178082193,0,29,1.0,2.0,2.0,Brooklyn,Private room,239.99999999999994
12.054794520547945,498,11,1.0,1.0,1.0,Brooklyn,Private room,180.00000000000006
6.271232876712329,54,24,2.0,2.0,4.0,Manhattan,Entire home/apt,99.00000000000004
2.282191780821918,488,24,1.0,1.0,2.0,Manhattan,Hotel room,431.99999999999994
2.463013698630137,423,63,1.0,1.0,1.0,Manhattan,Entire home/apt,254.99999999999994
8.810958904109588,508,10,2.0,1.0,1.0,Brooklyn,Private room,45.0
11.964383561643835,99,24,1.5,2.0,1.0,Manhattan,Private room,92.00000000000003
5.575342465753424,441,33,1.0,2.0,4.0,Brooklyn,Entire home/apt,274.0000000000001
10.323287671232876,480,53,1.0,1.0,1.0,Manhattan,Entire home/apt,320.0
7.928767123287671,281,28,1.0,3.0,3.0,Queens,Entire home/apt,166.00000000000006
8.378082191780821,291,28,1.0,2.0,2.0,Brooklyn,Entire home/apt,378.0
11.509589041095891,504,35,1.0,1.0,1.0,Manhattan,Private room,81.00000000000001
8.158904109589042,447,12,1.0,1.0,1.0,Queens,Private room,77.0
12.389041095890411,509,39,1.0,2.0,3.0,Manhattan,Entire home/apt,244.99999999999991
10.32054794520548,490,17,2.0,1.0,1.0,Manhattan,Private room,84.00000000000001
12.643835616438356,492,10,1.0,1.0,1.0,Manhattan,Entire home/apt,100.00000000000003
8.824657534246576,196,40,1.0,2.0,2.0,Brooklyn,Entire home/apt,100.00000000000003
7.065753424657534,349,27,1.0,2.0,2.0,Brooklyn,Entire home/apt,100.00000000000003
3.158904109589041,269,27,1.0,0.0,1.0,Brooklyn,Entire home/apt,146.99999999999994
1.367123287671233,403,25,1.0,1.0,2.0,Manhattan,Private room,479.0
13.956164383561644,530,38,1.0,1.0,1.0,Brooklyn,Private room,104.99999999999997
5.972602739726027,508,53,1.0,1.0,2.0,Brooklyn,Entire home/apt,125.0
10.756164383561643,450,6,1.0,1.0,1.0,Queens,Private room,51.00000000000001
1.2383561643835617,477,21,1.0,1.0,1.0,Brooklyn,Entire home/apt,160.00000000000003
6.816438356164384,93,22,2.0,2.0,3.0,Manhattan,Entire home/apt,143.99999999999997
9.857534246575343,481,33,1.0,3.0,4.0,Brooklyn,Entire home/apt,218.9999999999999
9.386301369863014,500,47,1.0,2.0,2.0,Queens,Entire home/apt,146.99999999999994
9.95068493150685,179,17,1.0,1.0,0.0,Queens,Private room,61.99999999999999
4.295890410958904,34,28,1.0,0.0,2.0,Manhattan,Entire home/apt,109.99999999999997
6.997260273972603,504,27,1.0,0.0,1.0,Brooklyn,Entire home/apt,71.0
10.287671232876713,481,42,1.0,1.0,1.0,Queens,Private room,46.999999999999986
